date,flair,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25
2017-01-31,AskIndia,0.4,0.7,0.1,0.3,0.3,0.4,0.3,0.5,0.3,0.8,0.3,0.4,0.6,0.5,0.4,0.7,0.3,0.5,0.3,0.2,0.5,0.8,0.5,0.3,0.7
2017-02-28,AskIndia,0.4,0.7,0.1,0.3,0.3,0.4,0.3,0.4,0.2,0.7,0.3,0.4,0.4,0.4,0.4,0.7,0.2,0.4,0.3,0.2,0.4,0.8,0.5,0.2,0.7
2017-03-31,AskIndia,0.4,0.7,0.1,0.3,0.3,0.4,0.2,0.4,0.2,0.7,0.2,0.4,0.5,0.4,0.4,0.6,0.3,0.4,0.2,0.2,0.3,0.7,0.7,0.3,0.6
2017-04-30,AskIndia,0.4,0.6,0.1,0.3,0.3,0.4,0.3,0.5,0.2,0.7,0.3,0.4,0.5,0.3,0.3,0.7,0.3,0.5,0.2,0.2,0.3,0.8,0.5,0.2,0.6
2017-05-31,AskIndia,0.4,0.8,0.1,0.3,0.3,0.5,0.3,0.5,0.3,0.8,0.4,0.4,0.6,0.5,0.4,0.7,0.3,0.5,0.4,0.2,0.6,0.8,0.6,0.4,0.8
2017-06-30,AskIndia,0.4,0.6,0.1,0.3,0.3,0.4,0.3,0.4,0.3,0.7,0.2,0.3,0.6,0.4,0.3,0.7,0.3,0.4,0.3,0.3,0.3,0.7,0.7,0.3,0.7
2017-07-31,AskIndia,0.4,0.6,0.1,0.3,0.3,0.4,0.3,0.4,0.3,0.7,0.3,0.3,0.5,0.4,0.4,0.7,0.3,0.4,0.2,0.2,0.3,0.6,0.7,0.2,0.6
2017-08-31,AskIndia,0.5,0.8,0.1,0.3,0.3,0.5,0.3,0.5,0.3,0.8,0.3,0.4,0.6,0.5,0.4,0.7,0.4,0.5,0.3,0.3,0.6,0.8,0.9,0.4,0.7
2017-09-30,AskIndia,0.5,0.8,0.1,0.4,0.4,0.5,0.3,0.6,0.3,0.9,0.3,0.4,0.8,0.5,0.5,0.9,0.5,0.5,0.5,0.3,0.4,0.9,0.9,0.4,1.0
2017-10-31,AskIndia,0.4,0.7,0.1,0.3,0.3,0.4,0.3,0.6,0.2,0.7,0.3,0.4,0.8,0.4,0.4,0.8,0.4,0.4,0.3,0.2,0.5,0.8,0.6,0.2,0.9
2017-11-30,AskIndia,0.4,0.8,0.1,0.3,0.4,0.5,0.3,0.6,0.3,0.9,0.4,0.4,0.5,0.4,0.5,0.8,0.3,0.5,0.4,0.3,0.6,0.9,0.8,0.3,0.8
2017-12-31,AskIndia,0.5,0.8,0.1,0.3,0.3,0.5,0.3,0.6,0.3,0.9,0.4,0.5,0.8,0.5,0.5,0.9,0.4,0.6,0.3,0.3,0.7,0.9,0.7,0.4,0.9
2018-01-31,AskIndia,0.5,1.0,0.1,0.4,0.4,0.6,0.4,0.8,0.4,0.9,0.4,0.5,0.6,0.5,0.5,0.9,0.4,0.6,0.4,0.3,0.7,0.9,0.9,0.4,1.0
2018-02-28,AskIndia,0.4,0.8,0.1,0.3,0.3,0.5,0.3,0.6,0.3,0.9,0.3,0.4,0.7,0.4,0.4,0.7,0.4,0.6,0.5,0.3,0.4,0.9,0.7,0.3,0.8
2018-03-31,AskIndia,0.5,1.0,0.1,0.3,0.3,0.6,0.3,0.6,0.3,0.9,0.4,0.5,0.6,0.6,0.5,0.8,0.4,0.6,0.3,0.3,0.5,1.0,0.9,0.3,0.9
2018-04-30,AskIndia,0.5,0.9,0.1,0.4,0.3,0.5,0.4,0.6,0.3,0.9,0.4,0.5,0.8,0.6,0.5,0.9,0.3,0.5,0.4,0.3,0.6,1.0,0.8,0.3,1.0
2018-05-31,AskIndia,0.2,0.4,0.0,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.2,0.1,0.1,0.3,0.3,0.3,0.1,0.3
2018-06-30,AskIndia,0.2,0.5,0.1,0.2,0.2,0.3,0.2,0.4,0.2,0.5,0.2,0.3,0.3,0.2,0.3,0.4,0.2,0.3,0.3,0.2,0.3,0.5,0.4,0.2,0.5
2018-07-31,AskIndia,0.4,0.8,0.1,0.3,0.3,0.5,0.3,0.5,0.3,0.8,0.3,0.4,0.5,0.5,0.4,0.6,0.3,0.4,0.3,0.3,0.4,0.8,0.5,0.3,0.6
2018-08-31,AskIndia,0.3,0.6,0.1,0.3,0.3,0.4,0.2,0.4,0.3,0.6,0.3,0.3,0.5,0.3,0.3,0.5,0.2,0.4,0.3,0.2,0.4,0.6,0.5,0.2,0.6
2018-09-30,AskIndia,0.3,0.5,0.1,0.2,0.2,0.3,0.2,0.4,0.3,0.5,0.2,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.3,0.2,0.3,0.4,0.5,0.2,0.6
2018-10-31,AskIndia,0.4,0.6,0.1,0.3,0.3,0.4,0.3,0.6,0.3,0.6,0.3,0.3,0.4,0.4,0.4,0.5,0.2,0.4,0.3,0.3,0.5,0.5,0.5,0.3,0.7
2018-11-30,AskIndia,0.4,0.6,0.1,0.3,0.3,0.5,0.3,0.7,0.4,0.6,0.3,0.3,0.9,0.4,0.4,0.8,0.2,0.4,0.2,0.3,0.7,0.6,0.4,0.2,1.0
2018-12-31,AskIndia,0.3,0.5,0.1,0.2,0.2,0.4,0.2,0.4,0.4,0.6,0.2,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.2,0.2,0.2,0.5,0.5,0.2,0.4
2019-01-31,AskIndia,0.3,0.6,0.1,0.3,0.3,0.4,0.2,0.5,0.4,0.6,0.3,0.3,0.5,0.3,0.4,0.7,0.2,0.4,0.2,0.3,0.4,0.5,0.3,0.2,0.7
2019-02-28,AskIndia,0.4,0.7,0.1,0.3,0.3,0.5,0.3,0.5,0.4,0.7,0.2,0.3,0.5,0.3,0.4,0.6,0.3,0.4,0.3,0.3,0.4,0.6,0.5,0.3,0.8
2019-03-31,AskIndia,0.4,0.8,0.1,0.3,0.4,0.5,0.3,0.6,0.3,0.8,0.4,0.4,0.6,0.4,0.4,0.7,0.3,0.6,0.4,0.3,0.5,0.7,0.5,0.3,0.9
2019-04-30,AskIndia,0.4,0.7,0.1,0.3,0.3,0.4,0.3,0.6,0.3,0.7,0.3,0.3,0.4,0.4,0.4,0.7,0.2,0.4,0.4,0.2,0.5,0.7,0.4,0.3,0.8
2019-05-31,AskIndia,0.4,0.8,0.1,0.3,0.3,0.5,0.3,0.5,0.3,0.8,0.4,0.4,0.4,0.5,0.4,0.7,0.2,0.5,0.4,0.3,0.4,0.8,0.5,0.3,0.7
2019-06-30,AskIndia,0.4,0.8,0.1,0.3,0.3,0.4,0.3,0.5,0.3,0.7,0.3,0.4,0.5,0.4,0.4,0.7,0.3,0.5,0.3,0.3,0.4,0.8,0.4,0.3,0.7
2019-07-31,AskIndia,0.4,0.8,0.1,0.3,0.3,0.4,0.3,0.7,0.3,0.8,0.3,0.4,0.5,0.4,0.4,0.7,0.3,0.5,0.3,0.3,0.5,0.8,0.6,0.3,0.7
2019-08-31,AskIndia,0.3,0.6,0.1,0.3,0.3,0.4,0.2,0.4,0.3,0.6,0.3,0.4,0.5,0.3,0.4,0.6,0.2,0.4,0.3,0.3,0.4,0.7,0.6,0.2,0.6
2019-09-30,AskIndia,0.5,0.9,0.1,0.4,0.4,0.6,0.4,0.6,0.4,0.9,0.3,0.4,0.8,0.6,0.5,0.8,0.3,0.5,0.4,0.3,0.5,0.9,0.5,0.3,1.0
2019-10-31,AskIndia,0.5,0.9,0.1,0.4,0.4,0.6,0.4,0.8,0.4,0.9,0.5,0.5,0.6,0.5,0.5,0.8,0.3,0.6,0.5,0.3,0.6,0.9,0.7,0.4,0.9
2019-11-30,AskIndia,0.5,1.0,0.1,0.4,0.4,0.6,0.4,0.6,0.3,0.9,0.5,0.5,0.6,0.4,0.5,0.9,0.4,0.7,0.3,0.3,0.7,0.9,0.6,0.4,1.0
2019-12-31,AskIndia,0.5,0.8,0.2,0.4,0.4,0.6,0.4,0.6,0.4,0.9,0.4,0.4,0.5,0.3,0.4,0.8,0.4,0.5,0.3,0.3,0.6,0.8,0.6,0.4,0.8
2020-01-31,AskIndia,0.4,0.7,0.1,0.3,0.4,0.5,0.3,0.4,0.3,0.7,0.3,0.3,0.3,0.4,0.4,0.6,0.2,0.5,0.3,0.3,0.5,0.6,0.3,0.3,0.6
2020-02-29,AskIndia,0.4,0.8,0.1,0.3,0.4,0.5,0.4,0.7,0.3,0.8,0.3,0.4,0.5,0.4,0.4,0.7,0.3,0.6,0.5,0.3,0.7,0.8,0.6,0.4,0.8
2020-03-31,AskIndia,0.6,0.9,0.2,0.5,0.4,0.6,0.5,0.8,0.4,0.9,0.4,0.6,0.5,0.4,0.6,0.8,0.4,0.7,0.4,0.4,0.6,0.9,0.7,0.4,0.8
2020-04-30,AskIndia,0.6,0.8,0.2,0.5,0.4,0.7,0.5,0.8,0.5,1.0,0.4,0.5,0.6,0.5,0.6,0.9,0.4,0.7,0.4,0.4,0.7,0.8,0.7,0.4,0.9
2017-01-31,Business/Finance,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1
2017-02-28,Business/Finance,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0
2017-03-31,Business/Finance,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.4,0.1,0.1
2017-04-30,Business/Finance,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.2
2017-05-31,Business/Finance,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.4,0.0,0.2
2017-06-30,Business/Finance,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.2
2017-07-31,Business/Finance,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.4,0.1,0.2
2017-08-31,Business/Finance,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.3,0.0,0.1
2017-09-30,Business/Finance,0.1,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.1
2017-10-31,Business/Finance,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1
2017-11-30,Business/Finance,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.3,0.1,0.1
2017-12-31,Business/Finance,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.2,0.0,0.1
2018-01-31,Business/Finance,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.3,0.0,0.2
2018-02-28,Business/Finance,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.1
2018-03-31,Business/Finance,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.6,0.0,0.1
2018-04-30,Business/Finance,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1
2018-05-31,Business/Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
2018-06-30,Business/Finance,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
2018-07-31,Business/Finance,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.1
2018-08-31,Business/Finance,0.1,0.1,0.0,0.1,0.3,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.3,0.0,0.3
2018-09-30,Business/Finance,0.0,0.2,0.0,0.1,0.4,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.0,0.3
2018-10-31,Business/Finance,0.0,0.2,0.0,0.1,0.4,0.1,0.0,0.4,0.1,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.5
2018-11-30,Business/Finance,0.0,0.3,0.0,0.1,0.3,0.1,0.0,0.5,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.0,0.2,0.1,0.1,0.2,0.1,0.6
2018-12-31,Business/Finance,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.3,0.1,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.4
2019-01-31,Business/Finance,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.5
2019-02-28,Business/Finance,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.3,0.1,0.6
2019-03-31,Business/Finance,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.4,0.1,0.6
2019-04-30,Business/Finance,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.4
2019-05-31,Business/Finance,0.0,0.2,0.0,0.1,0.2,0.1,0.0,0.4,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.3
2019-06-30,Business/Finance,0.0,0.2,0.0,0.1,0.3,0.1,0.0,0.9,0.1,0.0,0.3,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.0,0.5
2019-07-31,Business/Finance,0.0,0.2,0.0,0.1,0.4,0.1,0.0,0.6,0.1,0.0,0.3,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.0,0.0,0.4,0.0,0.5
2019-08-31,Business/Finance,0.0,0.1,0.0,0.1,0.6,0.1,0.0,0.4,0.1,0.0,0.2,0.0,0.0,0.1,0.1,0.3,0.0,0.1,0.0,0.2,0.1,0.0,0.2,0.0,0.3
2019-09-30,Business/Finance,0.1,0.2,0.0,0.1,0.7,0.1,0.0,0.4,0.1,0.0,0.2,0.1,0.1,0.2,0.1,0.3,0.1,0.1,0.0,0.2,0.1,0.1,0.5,0.0,0.3
2019-10-31,Business/Finance,0.0,0.1,0.0,0.1,0.3,0.1,0.0,0.4,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3
2019-11-30,Business/Finance,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.0,0.3
2019-12-31,Business/Finance,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.2
2020-01-31,Business/Finance,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.2
2020-02-29,Business/Finance,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.2
2020-03-31,Business/Finance,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.0,0.2
2020-04-30,Business/Finance,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.4,0.1,0.2
2020-03-31,Coronavirus,0.8,0.6,1.0,1.0,1.0,0.9,1.0,0.7,1.0,0.8,0.7,1.0,0.5,0.9,1.0,0.9,0.7,0.9,0.5,0.9,0.9,0.9,0.6,0.7,0.8
2020-04-30,Coronavirus,0.6,0.4,0.9,0.9,1.0,0.8,0.6,0.6,1.0,0.5,0.6,0.6,0.3,0.7,0.6,0.6,0.5,0.9,0.4,0.9,0.8,0.5,0.6,0.5,0.5
2017-01-31,NonPolitical,0.4,0.5,0.1,0.4,0.5,0.5,0.2,0.4,0.5,0.6,0.3,0.3,0.4,0.5,0.4,0.5,0.3,0.4,0.3,0.4,0.7,0.4,0.6,0.4,0.5
2017-02-28,NonPolitical,0.3,0.4,0.1,0.3,0.4,0.4,0.2,0.4,0.3,0.4,0.4,0.2,0.3,0.5,0.3,0.4,0.2,0.4,0.2,0.3,0.3,0.3,0.4,0.3,0.4
2017-03-31,NonPolitical,0.4,0.6,0.1,0.4,0.6,0.6,0.2,0.6,0.5,0.6,0.5,0.3,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.6,0.4,0.6,0.4,0.6
2017-04-30,NonPolitical,0.4,0.6,0.1,0.4,0.7,0.6,0.3,1.0,0.5,0.7,0.5,0.3,0.5,0.6,0.5,0.6,0.4,0.6,0.3,0.5,1.0,0.5,0.6,0.5,0.6
2017-05-31,NonPolitical,0.4,0.6,0.1,0.4,0.6,0.6,0.3,0.5,0.4,0.5,0.3,0.3,0.6,0.7,0.4,0.5,0.4,0.5,0.5,0.4,0.7,0.4,0.8,0.4,0.6
